KAYIT SIRA,ENDEKS KODU,ENDEKSLER,ENDEKSLERIN INGILIZCE ISIMLERI,KUR TURU,TARIH,KAPANIS,ACILIS,EN DUSUK,EN YUKSEK
108,XTRZM_CFNPTLER,BIST TURIZM (EURO),BIST TOURISM (EURO),EUR,30/10/2020,165.65,165.65,165.65,165.65
109,XULAS,BIST ULASTIRMA,BIST TRANSPORTATION,TRY,30/10/2020,1122.72,1129.26,1103.51,1132.23
110,XULAS_CFNPTLUS,BIST ULASTIRMA (ABD DOLARI),BIST TRANSPORTATION (USD),USD,30/10/2020,786.36,786.36,786.36,786.36
111,XULAS_CFNPTLER,BIST ULASTIRMA (EURO),BIST TRANSPORTATION (EURO),EUR,30/10/2020,789.49,789.49,789.49,789.49
112,XUMAL,BIST MALI,BIST FINANCIALS,TRY,30/10/2020,1170.73,1172.43,1153.92,1179.58
113,XUMAL_CFNPTLUS,BIST MALI (ABD DOLARI),BIST FINANCIALS (USD),USD,30/10/2020,819.99,819.99,819.99,819.99
114,XUMAL_CFNPTLER,BIST MALI (EURO),BIST FINANCIALS (EURO),EUR,30/10/2020,823.25,823.25,823.25,823.25
115,XBANK,BIST BANKA,BIST BANKS,TRY,30/10/2020,1134.74,1152.72,1119.37,1152.72
116,XBANK_CFNPTLUS,BIST BANKA (ABD DOLARI),BIST BANKS (USD),USD,30/10/2020,794.77,794.77,794.77,794.77
117,XBANK_CFNPTLER,BIST BANKA (EURO),BIST BANKS (EURO),EUR,30/10/2020,797.94,797.94,797.94,797.94
118,XSGRT,BIST SIGORTA,BIST INSURANCE,TRY,30/10/2020,5198.31,5214.73,5142.99,5297.32
119,XSGRT_CFNPTLUS,BIST SIGORTA (ABD DOLARI),BIST INSURANCE (USD),USD,30/10/2020,3640.92,3640.92,3640.92,3640.92
120,XSGRT_CFNPTLER,BIST SIGORTA (EURO),BIST INSURANCE (EURO),EUR,30/10/2020,3655.43,3655.43,3655.43,3655.43
121,XFINK,BIST FIN. KIR. FAKTORING,BIST LEASING FACTORING,TRY,30/10/2020,840.71,856.1,833.07,859.72
122,XFINK_CFNPTLUS,BIST FIN. KIR. FAKTORING (ABD DOLARI),BIST LEASING FACTORING (USD),USD,30/10/2020,588.84,588.84,588.84,588.84
